movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,American President, The (1995),Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
15,Sense and Sensibility (1995),Drama|Romance
16,Twelve Monkeys (1995),Sci-Fi|Thriller
17,Wings of Desire (1987),Drama|Fantasy|Romance
18,Braveheart (1995),Action|Drama|War
19,Congo (1995),Action|Adventure|Sci-Fi
20,Cutthroat Island (1995),Action|Adventure|Comedy
21,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
22,True Lies (1994),Action|Comedy|Sci-Fi
23,Forrest Gump (1994),Comedy|Drama|Romance
24,Pulp Fiction (1994),Crime|Drama
25,Dumb and Dumber (1994),Comedy
26,Legends of the Fall (1994),Drama|Romance|War
27,The Shawshank Redemption (1994),Drama
28,Quiz Show (1994),Drama
29,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western
30,Singin' in the Rain (1952),Comedy|Musical|Romance
